,Id,GeographicAreaName,TotalPopulation,SexRatio(males per 100 females),Population_Under5Years,Population_5to9Years,Population_10to14Years,Population_15to19Years,Population_20to24Years,Population_25to34Years,Population_35to44Years,Population_45to54Years,Population_55to59Years,Population_60to64Years,Population_65to74Years,Population_75to84Years,Population_85YearsAndOver,MedianAgeInYears
23,8600000US35046,ZCTA5 35046,5017,91.7,406,332,278,211,374,644,543,578,464,293,457,347,90,40.2
24,8600000US35049,ZCTA5 35049,3856,105.4,205,267,266,264,261,501,528,644,206,156,356,134,68,37.8
25,8600000US35051,ZCTA5 35051,9838,89.4,494,589,658,634,497,1277,1254,1325,743,768,885,564,150,40.2
26,8600000US35052,ZCTA5 35052,283,144.0,0,0,0,0,0,51,28,49,14,22,23,63,33,59.0
27,8600000US35053,ZCTA5 35053,2398,83.5,71,145,157,61,114,202,237,541,188,176,355,138,13,49.5
28,8600000US35054,ZCTA5 35054,4318,114.9,247,139,186,120,348,433,298,404,510,650,634,267,82,54.3
29,8600000US35055,ZCTA5 35055,21153,92.7,1339,1215,1580,1493,1472,2597,2727,2620,1322,981,2024,1419,364,38.6
30,8600000US35057,ZCTA5 35057,14187,102.6,1106,737,1059,801,758,2058,1598,1934,858,816,1513,710,239,38.4
31,8600000US35058,ZCTA5 35058,8630,89.1,599,472,399,369,350,1422,844,1227,675,684,875,559,155,43.7
32,8600000US35060,ZCTA5 35060,272,65.9,0,32,32,36,0,0,75,22,0,8,57,0,10,42.4
33,8600000US35061,ZCTA5 35061,1130,104.3,67,64,60,34,110,171,133,82,76,171,122,34,6,40.6
34,8600000US35062,ZCTA5 35062,7904,96.1,334,725,468,366,516,745,1224,840,561,727,924,245,229,42.5
35,8600000US35063,ZCTA5 35063,3629,109.8,218,255,212,206,211,473,401,513,243,299,376,169,53,42.0
36,8600000US35064,ZCTA5 35064,11048,73.7,738,532,566,939,773,1454,1360,1209,635,1064,1223,389,166,38.0
37,8600000US35068,ZCTA5 35068,7967,93.2,535,510,340,494,426,1165,1173,1086,600,439,646,387,166,38.6
38,8600000US35070,ZCTA5 35070,296,100.0,45,13,25,19,21,37,41,37,25,2,13,18,0,33.6
39,8600000US35071,ZCTA5 35071,16052,93.0,1043,1064,809,1240,776,1846,1853,2564,965,1054,1705,860,273,41.0
40,8600000US35072,ZCTA5 35072,4410,107.3,223,320,315,194,132,579,394,505,451,376,551,281,89,46.1
41,8600000US35073,ZCTA5 35073,2074,78.5,133,65,138,92,112,269,175,230,203,154,229,214,60,48.8
42,8600000US35074,ZCTA5 35074,99,86.8,0,0,0,0,0,99,0,0,0,0,0,0,0,
43,8600000US35077,ZCTA5 35077,13821,107.4,638,550,998,914,989,1437,1778,1786,938,1031,1659,874,229,42.8
44,8600000US35078,ZCTA5 35078,1927,97.6,65,134,119,122,88,184,175,282,199,168,224,127,40,47.9
45,8600000US35079,ZCTA5 35079,9055,104.7,549,506,674,525,449,1119,1345,949,692,692,1019,406,130,40.6
46,8600000US35080,ZCTA5 35080,18471,94.1,1226,1400,1614,1611,619,2401,2799,3030,1043,820,1238,553,117,36.7
47,8600000US35082,ZCTA5 35082,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,8600000US35083,ZCTA5 35083,3191,93.5,229,227,199,169,132,206,409,491,233,144,384,263,105,45.6
49,8600000US35085,ZCTA5 35085,8901,91.7,572,657,460,764,660,1112,1115,1245,545,541,745,390,95,37.7
50,8600000US35087,ZCTA5 35087,2571,90.6,33,233,177,97,191,353,490,293,245,172,156,102,29,40.1
51,8600000US35089,ZCTA5 35089,1954,92.5,57,30,104,142,63,83,298,447,123,130,206,161,110,47.8
52,8600000US35091,ZCTA5 35091,3118,94.8,222,280,256,256,143,315,492,407,289,122,166,164,6,38.3
53,8600000US35094,ZCTA5 35094,15059,108.9,1032,972,1191,787,897,1924,2032,1982,801,968,1537,734,202,37.8
54,8600000US35096,ZCTA5 35096,8221,93.8,531,328,340,543,416,1264,923,1373,609,655,753,362,124,42.3
55,8600000US35097,ZCTA5 35097,1884,92.4,48,155,189,130,39,175,249,241,86,157,198,184,33,43.3
56,8600000US35098,ZCTA5 35098,1091,116.9,98,62,84,11,122,176,124,92,25,76,95,99,27,34.2
57,8600000US35111,ZCTA5 35111,16325,90.7,622,966,1322,1317,975,1971,2620,1509,1483,1188,1392,702,258,38.7
58,8600000US35112,ZCTA5 35112,281,60.6,12,0,17,18,0,27,30,100,0,77,0,0,0,48.8
59,8600000US35114,ZCTA5 35114,8310,92.0,411,500,729,630,589,836,1533,1424,513,277,648,166,54,37.7
60,8600000US35115,ZCTA5 35115,14988,92.2,716,749,910,1564,2014,1731,1631,1936,729,923,1136,662,287,34.3
61,8600000US35116,ZCTA5 35116,4332,90.1,215,311,274,350,114,585,434,727,315,301,371,262,73,43.2
62,8600000US35117,ZCTA5 35117,5478,100.0,213,195,592,290,347,420,815,822,331,447,667,256,83,43.2
63,8600000US35118,ZCTA5 35118,3467,97.9,159,238,256,166,199,474,470,408,192,248,354,217,86,38.9
64,8600000US35119,ZCTA5 35119,282,16.5,0,0,73,0,0,40,61,40,40,0,0,28,0,40.5
65,8600000US35120,ZCTA5 35120,14424,95.1,1018,968,1042,1201,902,1917,2275,2038,940,515,943,620,45,35.8
66,8600000US35121,ZCTA5 35121,16123,93.9,1096,886,1179,803,1133,1628,2065,2214,800,1008,1815,1031,465,40.9
67,8600000US35124,ZCTA5 35124,24387,92.9,1351,1446,1536,1660,1037,3054,3443,3207,1937,1982,2490,1023,221,41.0
68,8600000US35125,ZCTA5 35125,9931,98.2,604,691,299,314,568,1174,1288,1664,829,543,1280,521,156,45.1
69,8600000US35126,ZCTA5 35126,20749,90.6,1002,1209,1425,1143,1835,2348,2345,2892,1744,1428,2054,1039,285,41.5
70,8600000US35127,ZCTA5 35127,9651,86.0,282,500,784,602,561,748,1244,1565,804,766,829,826,140,45.6
71,8600000US35128,ZCTA5 35128,10573,82.5,738,446,613,596,648,1480,1400,1350,410,787,1194,791,120,40.2
72,8600000US35130,ZCTA5 35130,2925,98.4,91,199,175,230,85,282,332,365,228,277,409,175,77,47.0
73,8600000US35131,ZCTA5 35131,4696,95.7,380,307,368,312,312,579,333,744,586,178,403,159,35,38.6
74,8600000US35133,ZCTA5 35133,3222,107.1,250,206,220,173,62,507,251,487,244,212,318,260,32,43.5
75,8600000US35135,ZCTA5 35135,2514,96.6,230,133,238,174,90,398,274,339,230,145,167,75,21,34.8
76,8600000US35136,ZCTA5 35136,2197,103.0,105,124,127,136,128,159,303,293,274,90,285,160,13,45.4
77,8600000US35139,ZCTA5 35139,161,120.5,0,0,0,16,18,0,28,8,70,0,21,0,0,58.4
78,8600000US35143,ZCTA5 35143,2880,119.5,87,161,164,102,76,207,554,314,260,483,289,151,32,48.6
79,8600000US35146,ZCTA5 35146,11175,122.3,243,757,769,785,354,1233,1357,1753,1216,713,1112,590,293,45.2
80,8600000US35147,ZCTA5 35147,6022,97.7,619,448,317,221,368,966,750,662,339,409,558,255,110,36.1
81,8600000US35148,ZCTA5 35148,2183,86.6,117,177,98,152,133,304,192,239,122,148,278,179,44,39.8
82,8600000US35149,ZCTA5 35149,251,161.5,0,0,0,0,82,47,95,0,0,0,0,27,0,27.9
83,8600000US35150,ZCTA5 35150,16991,83.2,997,1288,1090,1005,1095,2155,1801,2347,1235,1131,1514,1112,221,40.1
84,8600000US35151,ZCTA5 35151,7649,104.7,308,365,544,434,317,681,794,977,801,596,1065,613,154,49.1
85,8600000US35160,ZCTA5 35160,25999,93.6,1221,1423,1598,1711,1811,3489,2924,3179,1820,1942,3114,1279,488,41.7
86,8600000US35171,ZCTA5 35171,3254,96.4,93,217,225,257,121,373,447,539,263,246,328,76,69,42.7
87,8600000US35172,ZCTA5 35172,3000,105.1,198,96,167,140,99,485,286,304,357,336,362,156,14,46.7
88,8600000US35173,ZCTA5 35173,27514,89.2,2093,2202,2111,1805,970,3144,3422,4441,1570,1863,2332,1050,511,38.8
89,8600000US35175,ZCTA5 35175,5289,124.3,148,237,513,374,237,425,604,873,438,399,692,314,35,46.3
90,8600000US35176,ZCTA5 35176,784,170.3,6,14,107,39,73,80,100,156,56,41,82,20,10,42.5
91,8600000US35178,ZCTA5 35178,3202,92.3,216,229,339,177,197,273,305,313,234,178,460,256,25,41.8
92,8600000US35179,ZCTA5 35179,8616,85.3,516,519,559,533,323,876,1182,1282,534,834,1030,400,28,43.8
93,8600000US35180,ZCTA5 35180,14967,95.1,579,1152,1420,1017,648,1382,2279,1648,1363,975,1424,814,266,40.3
94,8600000US35183,ZCTA5 35183,918,77.9,0,0,141,14,65,120,191,82,59,106,79,61,0,42.4
95,8600000US35184,ZCTA5 35184,4666,102.0,145,462,208,372,171,594,538,679,410,309,422,175,181,43.0
96,8600000US35186,ZCTA5 35186,5085,103.0,214,320,231,355,316,420,507,755,411,445,715,292,104,46.8
97,8600000US35187,ZCTA5 35187,6,100.0,0,0,0,0,0,0,0,0,0,0,6,0,0,
98,8600000US35188,ZCTA5 35188,3014,91.7,126,156,222,196,172,314,525,536,102,196,269,135,65,40.0
99,8600000US35203,ZCTA5 35203,3125,144.3,78,5,28,102,262,695,536,325,260,357,235,150,92,40.9
100,8600000US35204,ZCTA5 35204,9262,85.8,523,439,519,519,562,1158,856,1493,873,650,870,604,196,45.9
101,8600000US35205,ZCTA5 35205,20857,100.0,924,654,313,1745,3231,5945,2054,1543,957,1070,1243,765,413,29.5
102,8600000US35206,ZCTA5 35206,17713,84.5,1024,1423,1152,895,992,2582,2162,2370,1331,1103,1792,622,265,38.9
103,8600000US35207,ZCTA5 35207,8696,91.2,697,625,604,402,622,951,881,779,532,855,1056,547,145,39.1
104,8600000US35208,ZCTA5 35208,13719,88.3,1126,620,1031,882,907,1631,1648,1798,888,974,1423,586,205,39.0
105,8600000US35209,ZCTA5 35209,28252,89.1,2124,1719,1826,2043,2868,5358,3743,3125,1248,942,1724,864,668,30.9
106,8600000US35210,ZCTA5 35210,14022,77.4,529,850,782,775,646,2233,2022,1392,1201,1057,1188,808,539,40.9
107,8600000US35211,ZCTA5 35211,24745,79.7,2018,1221,1092,1090,1975,4257,2267,2761,1672,1811,2728,1329,524,37.8
108,8600000US35212,ZCTA5 35212,11295,90.1,1115,839,532,600,565,1986,1448,1113,656,942,1035,403,61,35.1
109,8600000US35213,ZCTA5 35213,14062,88.4,1233,906,943,795,600,2593,1916,1518,652,720,1166,560,460,34.8
110,8600000US35214,ZCTA5 35214,17789,79.6,818,1116,869,1049,788,1955,2229,2353,1620,1688,2117,775,412,45.2
111,8600000US35215,ZCTA5 35215,48680,85.7,4025,4830,3649,3437,2932,7207,5869,5775,3157,2495,3104,1525,675,32.5
112,8600000US35216,ZCTA5 35216,36856,86.8,3122,2876,2419,1971,2124,6277,5714,4041,2052,1979,2010,1269,1002,34.0
113,8600000US35217,ZCTA5 35217,13256,95.2,718,895,943,545,1089,1864,1457,1621,915,1082,1266,580,281,38.2
114,8600000US35218,ZCTA5 35218,7235,111.2,578,585,561,258,420,1259,661,922,598,529,598,180,86,34.2
115,8600000US35221,ZCTA5 35221,4484,101.6,129,229,380,332,222,566,650,341,218,440,513,338,126,40.2
116,8600000US35222,ZCTA5 35222,8989,99.5,621,466,443,388,417,1615,1393,1104,579,625,952,299,87,38.9
117,8600000US35223,ZCTA5 35223,11111,88.2,534,759,725,876,430,1226,1129,1565,725,804,1458,631,249,44.0
118,8600000US35224,ZCTA5 35224,5328,94.3,385,312,310,489,302,667,747,542,339,561,441,155,78,39.3
119,8600000US35226,ZCTA5 35226,35331,95.6,2788,2617,2497,1876,1476,4989,5064,4806,1846,1977,3368,1359,668,37.4
120,8600000US35228,ZCTA5 35228,10059,78.7,447,760,600,546,814,1322,1137,1389,654,811,932,526,121,39.2
121,8600000US35229,ZCTA5 35229,1255,42.5,0,0,0,710,545,0,0,0,0,0,0,0,0,19.7
122,8600000US35233,ZCTA5 35233,1730,148.9,0,0,29,163,513,572,185,128,57,36,34,0,13,27.4
123,8600000US35234,ZCTA5 35234,5063,85.1,160,158,181,198,209,613,733,623,566,462,607,380,173,49.3
124,8600000US35235,ZCTA5 35235,21340,87.7,1395,1591,1343,1246,1052,3468,2682,2799,1426,1057,1852,1074,355,36.8
125,8600000US35242,ZCTA5 35242,56340,93.3,2875,3234,3919,3325,3419,7244,7245,8183,3951,3809,5525,2833,778,40.8
126,8600000US35243,ZCTA5 35243,17059,88.0,995,999,791,786,858,3350,1947,2131,881,1071,1951,947,352,38.1
127,8600000US35244,ZCTA5 35244,31941,96.4,1989,1814,2189,2051,1648,4129,4552,4683,2268,1972,2844,1313,489,39.9
128,8600000US35254,ZCTA5 35254,1598,86.2,0,21,0,708,677,25,17,0,46,23,75,0,6,20.2
129,8600000US35401,ZCTA5 35401,37705,93.2,1392,1658,1422,9382,6759,4490,3091,2874,1149,1789,2238,983,478,22.7
130,8600000US35404,ZCTA5 35404,22345,116.4,1311,1264,1056,1211,4240,3861,2254,2296,1531,1109,1208,741,263,29.3
131,8600000US35405,ZCTA5 35405,45391,86.2,2897,2560,2580,2995,4646,7882,5486,5487,2641,2660,3174,1852,531,33.5
132,8600000US35406,ZCTA5 35406,17914,99.2,971,1385,1424,945,886,2220,2404,2374,991,1125,1888,970,331,39.8
133,8600000US35441,ZCTA5 35441,972,88.7,80,52,84,66,13,94,210,160,38,57,72,39,7,41.1
134,8600000US35442,ZCTA5 35442,6730,61.5,354,380,428,330,469,1186,1083,1001,397,370,414,184,134,35.9
135,8600000US35443,ZCTA5 35443,1777,108.1,86,152,202,92,271,113,366,201,49,101,70,53,21,30.0
136,8600000US35444,ZCTA5 35444,3972,88.8,122,235,296,296,262,455,718,590,228,324,294,128,24,38.8
137,8600000US35446,ZCTA5 35446,2147,88.7,109,173,110,109,147,298,224,314,194,216,144,48,61,40.7
138,8600000US35447,ZCTA5 35447,3032,109.0,180,103,181,176,197,323,471,290,266,181,301,276,87,42.8
139,8600000US35452,ZCTA5 35452,3416,84.4,199,286,132,121,200,524,244,414,256,337,449,224,30,45.0
140,8600000US35453,ZCTA5 35453,10721,93.6,663,856,714,563,596,1156,1640,1727,752,689,880,381,104,40.2
141,8600000US35456,ZCTA5 35456,4051,73.6,187,299,415,272,132,513,552,610,305,50,527,176,13,38.8
142,8600000US35457,ZCTA5 35457,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,8600000US35458,ZCTA5 35458,445,181.6,0,16,0,14,42,190,0,18,30,42,65,28,0,30.9
144,8600000US35459,ZCTA5 35459,1156,90.1,78,86,13,64,101,165,95,165,48,92,161,77,11,39.8
145,8600000US35460,ZCTA5 35460,956,73.8,14,23,30,154,62,151,174,54,127,125,11,14,17,41.3
146,8600000US35461,ZCTA5 35461,2093,121.7,156,108,64,68,106,318,238,215,122,163,346,139,50,44.7
147,8600000US35462,ZCTA5 35462,4447,83.8,411,262,123,155,193,644,319,298,439,420,612,460,111,46.9
148,8600000US35463,ZCTA5 35463,2074,101.0,198,115,95,139,32,388,265,272,114,176,219,35,26,38.1
149,8600000US35464,ZCTA5 35464,854,105.8,73,146,68,132,0,132,8,168,26,46,35,20,0,25.2
150,8600000US35466,ZCTA5 35466,5441,115.1,235,414,406,388,255,430,652,957,385,348,557,310,104,44.2
151,8600000US35469,ZCTA5 35469,311,74.7,0,0,33,0,0,0,0,100,94,15,27,42,0,55.3
152,8600000US35470,ZCTA5 35470,4836,70.9,369,364,176,537,989,556,365,365,240,210,302,309,54,24.7
153,8600000US35473,ZCTA5 35473,16294,94.6,1562,859,906,959,1395,2613,2102,1462,807,1145,1602,630,252,34.5
154,8600000US35474,ZCTA5 35474,6617,84.8,376,442,369,416,543,895,806,878,482,444,594,286,86,37.7
155,8600000US35475,ZCTA5 35475,15952,103.8,1257,987,872,828,1076,2210,1918,2227,1178,1067,1609,628,95,38.9
156,8600000US35476,ZCTA5 35476,7208,69.6,614,565,445,383,536,992,1059,721,354,295,527,364,353,35.9
157,8600000US35477,ZCTA5 35477,137,174.0,0,0,0,0,19,31,24,0,43,0,6,0,14,43.8
158,8600000US35480,ZCTA5 35480,1007,91.8,23,106,25,22,0,231,114,112,92,107,82,70,23,42.0
159,8600000US35481,ZCTA5 35481,3174,95.4,180,94,125,189,271,358,234,351,260,327,419,215,151,48.9
160,8600000US35490,ZCTA5 35490,3911,91.3,275,221,235,391,262,694,481,595,173,177,263,126,18,33.2
161,8600000US35501,ZCTA5 35501,10208,92.9,805,827,728,605,631,1303,1391,1104,733,449,980,444,208,36.3
162,8600000US35503,ZCTA5 35503,8798,112.8,701,444,181,454,564,1085,1063,1470,653,670,1007,416,90,44.2
163,8600000US35504,ZCTA5 35504,12832,98.2,450,777,826,1026,663,1533,1520,1732,1004,854,1325,696,426,41.9
164,8600000US35540,ZCTA5 35540,2786,101.4,123,119,238,121,243,412,319,356,214,190,240,172,39,38.0
165,8600000US35541,ZCTA5 35541,3399,101.7,125,87,160,208,124,288,451,444,289,371,490,261,101,53.3
166,8600000US35542,ZCTA5 35542,920,89.7,15,53,38,47,74,68,68,115,87,81,193,53,28,54.1
167,8600000US35543,ZCTA5 35543,1033,176.9,85,32,91,116,17,108,142,118,36,64,130,94,0,40.1
168,8600000US35544,ZCTA5 35544,513,93.6,4,9,35,35,4,86,73,22,91,50,25,77,2,49.4
169,8600000US35545,ZCTA5 35545,99,102.0,11,1,0,2,21,9,1,1,2,2,40,5,4,64.5
170,8600000US35546,ZCTA5 35546,3996,83.4,286,265,291,299,244,433,546,639,220,178,421,151,23,36.9
171,8600000US35548,ZCTA5 35548,1600,109.2,73,76,88,102,71,116,192,187,157,135,190,162,51,47.6
172,8600000US35549,ZCTA5 35549,3712,86.4,134,252,262,225,226,403,432,453,377,272,392,229,55,43.6
173,8600000US35550,ZCTA5 35550,5504,106.8,343,249,308,277,328,642,512,890,393,357,692,384,129,45.6
174,8600000US35552,ZCTA5 35552,997,100.2,69,64,139,64,60,222,88,91,7,13,140,25,15,31.2
175,8600000US35553,ZCTA5 35553,4111,119.5,232,156,162,304,151,438,385,580,530,215,589,300,69,49.1
176,8600000US35554,ZCTA5 35554,1034,95.8,39,69,67,64,27,147,98,169,45,99,92,97,21,46.2
177,8600000US35555,ZCTA5 35555,9537,105.2,464,427,625,648,476,1159,1109,1132,810,757,970,692,268,43.9
178,8600000US35559,ZCTA5 35559,12,100.0,0,0,0,0,0,0,6,6,0,0,0,0,0,
179,8600000US35563,ZCTA5 35563,4646,102.2,276,202,241,300,393,406,555,743,357,190,553,308,122,44.5
180,8600000US35564,ZCTA5 35564,2134,89.7,189,129,53,87,150,255,152,421,102,187,233,127,49,46.2
181,8600000US35565,ZCTA5 35565,12645,91.8,650,638,1147,669,449,1315,1417,1868,988,927,1596,783,198,45.2
182,8600000US35570,ZCTA5 35570,11159,90.0,545,598,550,693,792,1237,1328,1513,794,622,1367,887,233,44.3
183,8600000US35571,ZCTA5 35571,776,114.4,24,34,37,59,26,89,58,131,71,104,112,22,9,51.1
184,8600000US35572,ZCTA5 35572,1267,101.4,75,57,71,67,127,90,137,185,151,61,113,70,63,45.4
185,8600000US35574,ZCTA5 35574,1694,111.5,99,134,111,53,43,248,180,187,130,84,272,128,25,43.1
186,8600000US35575,ZCTA5 35575,1082,84.3,71,116,57,17,99,91,82,224,81,61,95,72,16,45.2
187,8600000US35576,ZCTA5 35576,2869,95.4,77,79,128,147,150,273,258,580,203,263,360,247,104,50.6
188,8600000US35577,ZCTA5 35577,48,71.4,0,0,7,14,0,0,4,4,12,7,0,0,0,40.8
189,8600000US35578,ZCTA5 35578,6111,89.1,515,304,259,348,291,431,683,699,378,559,919,541,184,48.6
190,8600000US35579,ZCTA5 35579,3614,93.8,313,187,227,156,140,559,331,445,308,220,482,155,91,41.2
191,8600000US35580,ZCTA5 35580,3564,81.3,181,266,379,170,184,561,389,443,156,243,379,164,49,36.5
192,8600000US35581,ZCTA5 35581,6073,85.4,548,440,524,247,523,464,698,900,306,482,485,406,50,40.2
193,8600000US35582,ZCTA5 35582,4561,98.6,446,327,396,288,151,602,540,506,252,291,378,281,103,37.2
194,8600000US35584,ZCTA5 35584,365,106.2,19,14,42,30,6,42,33,45,22,31,45,31,5,44.4
195,8600000US35585,ZCTA5 35585,1727,87.5,49,103,76,287,84,96,143,350,88,149,186,85,31,45.6
196,8600000US35586,ZCTA5 35586,3947,86.3,277,336,234,195,84,488,353,325,327,415,488,293,132,46.1
197,8600000US35587,ZCTA5 35587,582,129.1,7,6,16,43,46,31,16,118,40,119,75,47,18,55.7
198,8600000US35592,ZCTA5 35592,4839,97.9,292,201,406,419,338,334,626,743,310,270,559,225,116,44.2
199,8600000US35593,ZCTA5 35593,1537,108.3,108,107,95,61,54,164,189,199,140,112,218,76,14,44.3
200,8600000US35594,ZCTA5 35594,7285,99.0,228,509,705,530,321,995,698,951,534,328,883,400,203,39.7
201,8600000US35601,ZCTA5 35601,32381,95.9,2181,2298,2042,2231,1807,4559,4286,3960,1887,1799,2773,1896,662,37.4
202,8600000US35603,ZCTA5 35603,31653,89.7,1617,2092,1815,1702,2168,3557,3714,5152,2121,2043,3238,1817,617,42.8
203,8600000US35610,ZCTA5 35610,1823,121.2,55,76,86,46,69,210,261,334,132,134,246,117,57,47.1
204,8600000US35611,ZCTA5 35611,27058,92.8,1562,1637,1510,1792,2014,3445,3156,3621,1842,1464,2940,1539,536,39.7
205,8600000US35613,ZCTA5 35613,26379,109.3,1184,1378,1842,1471,1314,3592,3815,4200,2432,1609,2215,1105,222,41.6
206,8600000US35614,ZCTA5 35614,7050,93.3,457,432,437,430,262,1177,735,956,419,581,770,281,113,39.3
207,8600000US35615,ZCTA5 35615,60,252.9,0,0,0,0,0,0,43,0,17,0,0,0,0,
208,8600000US35616,ZCTA5 35616,3772,99.4,249,170,114,224,268,283,391,660,298,320,505,249,41,47.7
209,8600000US35618,ZCTA5 35618,1796,111.0,80,70,84,179,112,135,229,235,126,136,197,111,102,45.7
210,8600000US35619,ZCTA5 35619,4860,104.9,183,285,305,388,51,682,722,365,553,483,614,216,13,41.8
211,8600000US35620,ZCTA5 35620,9694,99.7,536,501,551,835,559,1304,1266,1560,593,558,948,382,101,40.8
212,8600000US35621,ZCTA5 35621,2647,139.1,147,182,129,123,147,309,247,300,333,243,224,192,71,48.0
213,8600000US35622,ZCTA5 35622,7409,102.3,601,522,585,354,352,1119,631,724,461,634,876,318,232,37.1
214,8600000US35630,ZCTA5 35630,33324,86.9,1661,1803,1475,2313,4659,4917,3318,3055,1798,1992,3270,2159,904,34.7
215,8600000US35633,ZCTA5 35633,20625,97.2,1166,1260,1294,1374,1088,2012,2639,3025,1303,1638,2238,1128,460,42.8
216,8600000US35634,ZCTA5 35634,9997,104.1,390,462,546,722,447,944,1026,1435,998,633,1554,643,197,48.2
217,8600000US35640,ZCTA5 35640,25654,96.3,1526,1566,1579,1984,1472,2868,3252,3484,1884,1799,2636,1179,425,41.5
218,8600000US35643,ZCTA5 35643,3802,108.2,65,225,209,323,143,246,503,541,505,274,376,383,9,50.5
219,8600000US35645,ZCTA5 35645,13654,91.4,636,859,969,740,707,1308,1775,2109,958,883,1758,667,285,44.1
220,8600000US35646,ZCTA5 35646,4522,95.7,101,197,173,338,282,424,474,672,409,347,645,388,72,48.2
221,8600000US35647,ZCTA5 35647,1177,108.3,113,78,62,96,85,163,121,124,131,60,107,19,18,31.9
222,8600000US35648,ZCTA5 35648,3448,87.7,241,132,194,317,249,429,324,499,296,250,281,187,49,39.2
223,8600000US35649,ZCTA5 35649,84,75.0,4,4,4,4,0,0,10,6,24,12,9,5,2,57.1
224,8600000US35650,ZCTA5 35650,13668,84.4,765,822,1027,633,761,1809,1466,2079,796,1009,1432,729,340,42.4
225,8600000US35651,ZCTA5 35651,1364,75.5,143,65,97,64,84,166,173,210,79,23,117,129,14,37.9
226,8600000US35652,ZCTA5 35652,8704,97.7,558,377,532,536,536,1175,722,1032,680,745,979,617,215,43.4
227,8600000US35653,ZCTA5 35653,10615,110.1,377,550,1001,669,905,1662,1272,1283,605,563,968,483,277,36.5
228,8600000US35654,ZCTA5 35654,7771,97.2,888,456,321,403,591,1140,939,668,410,521,921,357,156,36.3
229,8600000US35660,ZCTA5 35660,8986,86.1,444,548,631,420,436,821,1207,1387,610,555,947,633,347,44.9
230,8600000US35661,ZCTA5 35661,17027,85.9,1103,1056,962,838,1036,2383,1866,2013,1221,1317,1743,1112,377,41.4
231,8600000US35670,ZCTA5 35670,6594,112.1,484,567,230,183,535,623,999,1076,443,360,730,289,75,40.6
232,8600000US35671,ZCTA5 35671,1958,110.8,81,58,84,58,168,325,255,277,147,246,154,50,55,41.9
